t,a,z,R,H,rho_m,rho_eff,w_eff,rho_m_over_rho_eff
255.6278139069535,0.0005045450195705929,10.0,98.03597268066366,0.010205196941459159,2.9748379630447546e-07,0.0003121406500455977,-0.9996825330977529,0.000953044072475081
256.128064032016,0.0005071273716571863,10.0,98.0362091893629,0.010205098503901902,2.92962430967372e-07,0.0003121391439920551,-0.9996873533402015,0.0009385635752715102
256.62831415707853,0.0005097229157727777,10.0,98.03644210536737,0.010205001562215661,2.8850982754083524e-07,0.0003121376608269314,-0.9996921003989131,0.0009243031641119496
257.1285642821411,0.0005123317195652861,10.0,98.03667148328161,0.010204906093648314,2.84124938512128e-07,0.0003121362002020294,-0.9996967753728101,0.0009102594903386047
257.6288144072036,0.00051495385102654,10.0,98.03689737688238,0.010204812075793199,2.79806732323576e-07,0.0003121347617744405,-0.9997013793609647,0.0008964292561742101
258.12906453226617,0.0005175893784922788,10.0,98.0371198391188,0.010204719486589119,2.755541933725645e-07,0.0003121333452065425,-0.9997059134405291,0.0008828092147291308
258.6293146573287,0.0005202383706487333,10.0,98.03733892214517,0.01020462830430643,2.713663213649002e-07,0.0003121319501657908,-0.9997103787031506,0.0008693961679371889
259.12956478239124,0.0005229008965255404,10.0,98.03755467726673,0.010204538507569673,2.67242132354139e-07,0.0003121305763250628,-0.9997147762473302,0.0008561869698911665
259.62981490745375,0.0005255770254993187,10.0,98.03776715498358,0.0102044500753394,2.631806579052604e-07,0.0003121292233623776,-0.9997191070927859,0.0008431785241707771
260.13006503251626,0.0005282668273053416,10.0,98.03797640506535,0.010204362986880822,2.5918094364917585e-07,0.00031212789096042066,-0.9997233722096229,0.0008303677792191959
260.6303151575788,0.0005309703720375406,10.0,98.0381824765511,0.010204277221763846,2.5524204928221525e-07,0.00031212657880654325,-0.9997275725679926,0.0008177517283474114
261.1305652826413,0.0005336877301485047,10.0,98.03838541774947,0.010204192759863102,2.5136304856612796e-07,0.0003121252865927616,-0.9997317091381992,0.0008053274097400773
261.6308154077039,0.0005364189724494825,10.0,98.03858527623855,0.010204109581357977,2.4754302932807966e-07,0.0003121240140157569,-0.9997357828905266,0.0007930919064612022
262.1310655327664,0.0005391641701103794,10.0,98.038782098866,0.010204027666732632,2.4378109346065603e-07,0.00031212276077687435,-0.9997397947812926,0.0007810423464597207
262.6313156578289,0.0005419233946646561,10.0,98.03897593177022,0.010203946996767048,2.4007635650600836e-07,0.00031212152658198776,-0.9997437457678225,0.0007691759012428941
263.13156578289147,0.0005446967180075282,10.0,98.0391668203577,0.010203867552546377,2.3642794808277013e-07,0.00031212031114164363,-0.99974763682319,0.0007574897872489834
263.631815907954,0.0005474842123922589,10.0,98.03935480930215,0.010203789315461504,2.3283501191305037e-07,0.000312119114171066,-0.9997514688634654,0.0007459812659388695
264.13206603301654,0.0005502859504458398,10.0,98.03953994263111,0.010203712267172729,2.2929670414893148e-07,0.00031211793538960474,-0.9997552427460094,0.0007346476384406083
264.63231615807905,0.0005531020051693102,10.0,98.03972226372754,0.010203636389609116,2.2581219334119305e-07,0.0003121167745207249,-0.9997589593272215,0.0007234862454539395
265.1325662831416,0.0005559324499377592,10.0,98.03990181532987,0.010203561664968521,2.223806604393086e-07,0.00031211563129200626,-0.9997626194635172,0.0007124944672548481
265.6328164082041,0.000558777358500324,10.0,98.04007863953196,0.010203488075717616,2.1900129879144867e-07,0.00031211450543514334,-0.9997662240114445,0.0007016697237000304
266.13306653326663,0.0005616368049801909,10.0,98.0402527777831,0.010203415604591906,2.1567331414447823e-07,0.00031211339668594444,-0.999769773819418,0.0006910094742312313
266.6333166583292,0.0005645108638778321,10.0,98.04042427090027,0.0102033442345906,2.1239592440572612e-07,0.00031211230478425396,-0.9997732697273062,0.0006805112171163637
267.1335667833917,0.0005673996100741901,10.0,98.04059315906889,0.010203273948976126,2.0916835961748343e-07,0.0003121112294739471,-0.9997767125957977,0.0006701724893719127
267.63381690845426,0.0005703031188204987,10.0,98.0407594818109,0.010203204731287658,2.059898625799438e-07,0.00031211017050313255,-0.9997801032475173,0.0006599908687624018
268.13406703351677,0.0005732214657567641,10.0,98.04092327807379,0.010203136565303817,2.0285968713386684e-07,0.00031210912762358545,-0.9997834424420632,0.0006499639683031723
268.63431715857934,0.0005761547269131027,10.0,98.04108458623647,0.010203069435040265,1.9977709804879475e-07,0.0003121081005907099,-0.9997867309351396,0.0006400894359059813
269.13456728364184,0.0005791029787097391,10.0,98.04124344410917,0.010203003324749728,1.9674137102305518e-07,0.0003121070891635389,-0.999789969482617,0.0006303649543825836
269.63481740870435,0.0005820662979570075,10.0,98.04139988893351,0.010202938218922007,1.9375179268375876e-07,0.0003121060931047344,-0.9997931588403698,0.000620788241448208
270.1350675337669,0.0005850447618553518,10.0,98.04155395738245,0.010202874102284012,1.9080766058680021e-07,0.0003121051121805865,-0.9997962997604836,0.0006113570497249573
270.6353176588294,0.0005880384479970644,10.0,98.04170568556606,0.010202810959797345,1.8790828310561467e-07,0.00031210414616097694,-0.99979939298077,0.0006020691663887587
271.135567783892,0.0005910474343735712,10.0,98.04185510904736,0.010202748776651565,1.850529791171399e-07,0.0003121031948192779,-0.9998024392607876,0.0005929224121665723
271.6358179089545,0.0005940717993606718,10.0,98.04200226279382,0.010202687538284553,1.8224107894014592e-07,0.0003121022579326605,-0.9998054393383425,0.0005839146443454005
272.13606803401706,0.0005971116217376451,10.0,98.04214718125866,0.010202627230348515,1.7947192277018455e-07,0.00031210133528157693,-0.999808393888626,0.0005750437517617971
272.63631815907956,0.0006001669806906362,10.0,98.04228989839353,0.010202567838704709,1.7674486043540168e-07,0.0003121004266496796,-0.999811303578506,0.0005663076540225009
273.1365682841421,0.0006032379558126596,10.0,98.04243044764853,0.010202509349423428,1.740592513965352e-07,0.0003120995318238209,-0.9998141690748609,0.0005577043015072225
273.63681840920464,0.000606324627103596,10.0,98.04256886197213,0.010202451748784046,1.714144647469159e-07,0.0003120986505940531,-0.999816991044617,0.000549231675371371
274.13706853426714,0.0006094270749701938,10.0,98.04270517381124,0.010202395023275015,1.688098792124683e-07,0.00031209778275362787,-0.9998197701536223,0.0005408877875487118
274.6373186593297,0.0006125453802266592,10.0,98.04283941511291,0.010202339159593166,1.6624488311901217e-07,0.0003120969280989856,-0.9998225070517937,0.0005326706806492034
275.1375687843922,0.0006156796241043346,10.0,98.04297161734654,0.01020228414463433,1.6371887395760841e-07,0.00031209608642961345,-0.9998252024075605,0.0005245784265690614
275.6378189094547,0.0006188298882357737,10.0,98.04310181145395,0.010202229965514236,1.612312593470035e-07,0.0003120952575483628,-0.9998278568807204,0.0005166091295764686
276.1380690345173,0.0006219962546709524,10.0,98.04323002791234,0.01020217660954227,1.5878145582523218e-07,0.000312094441261049,-0.9998304710743898,0.00050876092244277
276.6383191595798,0.0006251788058841992,10.0,98.04335629675647,0.010202124064212139,1.5636888842003877e-07,0.0003120936373763092,-0.9998330455768665,0.0005010319650685343
277.13856928464236,0.0006283776247741981,10.0,98.0434806475788,0.010202072317201879,1.5399299064887519e-07,0.00031209284570560183,-0.9998355809764212,0.0004934204444857325
277.63881940970487,0.0006315927946639859,10.0,98.04360310952937,0.010202021356373872,1.5165320451890312e-07,0.0003120920660632068,-0.9998380778614561,0.00048592457485987286
278.13906953476743,0.0006348243993009542,10.0,98.04372371131588,0.010201971169774856,1.4934898052699187e-07,0.00031209129826622505,-0.9998405368202413,0.00047854259749207056
278.63931965982994,0.0006380725228568657,10.0,98.04384248120373,0.010201921745635917,1.470797776588429e-07,0.0003120905421345781,-0.9998429584280306,0.0004712727808182662
279.13956978489244,0.0006413372499371447,10.0,98.0439594470357,0.010201873072364183,1.4484506300556582e-07,0.00031208979749088267,-0.9998453432707648,0.0004641134191828148
